LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,ELDLYPOP,TOT,PC_POP,A,1959,12.05503419,
AUT,ELDLYPOP,TOT,PC_POP,A,1960,12.22351519,
AUT,ELDLYPOP,TOT,PC_POP,A,1961,12.41460458,
AUT,ELDLYPOP,TOT,PC_POP,A,1962,12.60690246,
AUT,ELDLYPOP,TOT,PC_POP,A,1963,12.7750717,
AUT,ELDLYPOP,TOT,PC_POP,A,1964,12.9772401,
AUT,ELDLYPOP,TOT,PC_POP,A,1965,13.17811343,
AUT,ELDLYPOP,TOT,PC_POP,A,1966,13.37268744,
AUT,ELDLYPOP,TOT,PC_POP,A,1967,13.57504774,
AUT,ELDLYPOP,TOT,PC_POP,A,1968,13.75902294,
AUT,ELDLYPOP,TOT,PC_POP,A,1969,13.9276487,
AUT,ELDLYPOP,TOT,PC_POP,A,1970,14.07589252,
AUT,ELDLYPOP,TOT,PC_POP,A,1971,14.21435316,
AUT,ELDLYPOP,TOT,PC_POP,A,1972,14.34365283,
AUT,ELDLYPOP,TOT,PC_POP,A,1973,14.47391715,
AUT,ELDLYPOP,TOT,PC_POP,A,1974,14.65309162,
AUT,ELDLYPOP,TOT,PC_POP,A,1975,14.87114956,
AUT,ELDLYPOP,TOT,PC_POP,A,1976,15.04026489,
AUT,ELDLYPOP,TOT,PC_POP,A,1977,15.19163155,
AUT,ELDLYPOP,TOT,PC_POP,A,1978,15.3413807,
AUT,ELDLYPOP,TOT,PC_POP,A,1979,15.4518258,
AUT,ELDLYPOP,TOT,PC_POP,A,1980,15.40417671,
AUT,ELDLYPOP,TOT,PC_POP,A,1981,15.11237714,
AUT,ELDLYPOP,TOT,PC_POP,A,1982,14.73645853,
AUT,ELDLYPOP,TOT,PC_POP,A,1983,14.37423878,
AUT,ELDLYPOP,TOT,PC_POP,A,1984,14.16435031,
AUT,ELDLYPOP,TOT,PC_POP,A,1985,14.19454423,
AUT,ELDLYPOP,TOT,PC_POP,A,1986,14.34822401,
AUT,ELDLYPOP,TOT,PC_POP,A,1987,14.55085466,
AUT,ELDLYPOP,TOT,PC_POP,A,1988,14.74311489,
AUT,ELDLYPOP,TOT,PC_POP,A,1989,14.86769719,
AUT,ELDLYPOP,TOT,PC_POP,A,1990,14.9340245,
AUT,ELDLYPOP,TOT,PC_POP,A,1991,14.9438593,
AUT,ELDLYPOP,TOT,PC_POP,A,1992,14.91367681,
AUT,ELDLYPOP,TOT,PC_POP,A,1993,14.92582756,
AUT,ELDLYPOP,TOT,PC_POP,A,1994,15.01072691,
AUT,ELDLYPOP,TOT,PC_POP,A,1995,15.12840895,
AUT,ELDLYPOP,TOT,PC_POP,A,1996,15.23095317,
AUT,ELDLYPOP,TOT,PC_POP,A,1997,15.31534539,
AUT,ELDLYPOP,TOT,PC_POP,A,1998,15.38170309,
AUT,ELDLYPOP,TOT,PC_POP,A,1999,15.4109137,
AUT,ELDLYPOP,TOT,PC_POP,A,2000,15.4256983,
AUT,ELDLYPOP,TOT,PC_POP,A,2001,15.46345054,
AUT,ELDLYPOP,TOT,PC_POP,A,2002,15.46417085,
AUT,ELDLYPOP,TOT,PC_POP,A,2003,15.44417543,
AUT,ELDLYPOP,TOT,PC_POP,A,2004,15.71051189,
AUT,ELDLYPOP,TOT,PC_POP,A,2005,16.2227222,
AUT,ELDLYPOP,TOT,PC_POP,A,2006,16.66498144,
AUT,ELDLYPOP,TOT,PC_POP,A,2007,17.02630284,
AUT,ELDLYPOP,TOT,PC_POP,A,2008,17.26225948,
AUT,ELDLYPOP,TOT,PC_POP,A,2009,17.52616411,
AUT,ELDLYPOP,TOT,PC_POP,A,2010,17.67240529,
AUT,ELDLYPOP,TOT,PC_POP,A,2011,17.68956292,
AUT,ELDLYPOP,TOT,PC_POP,A,2012,17.94689277,
AUT,ELDLYPOP,TOT,PC_POP,A,2013,18.19048203,
AUT,ELDLYPOP,TOT,PC_POP,A,2014,18.39897602,
AUT,ELDLYPOP,TOT,PC_POP,A,2015,18.47654545,
AUT,ELDLYPOP,TOT,PC_POP,A,2016,18.4950444,
AUT,ELDLYPOP,TOT,PC_POP,A,2017,18.5994363,
AUT,ELDLYPOP,TOT,PC_POP,A,2018,18.75920983,
AUT,ELDLYPOP,TOT,PC_POP,A,2019,18.94111012,
AUT,ELDLYPOP,TOT,PC_POP,A,2020,19.15221135,
BEL,ELDLYPOP,TOT,PC_POP,A,1950,11.0534693,
BEL,ELDLYPOP,TOT,PC_POP,A,1951,11.16168375,
BEL,ELDLYPOP,TOT,PC_POP,A,1952,11.26404789,
BEL,ELDLYPOP,TOT,PC_POP,A,1953,11.36826655,
BEL,ELDLYPOP,TOT,PC_POP,A,1954,11.44902121,
BEL,ELDLYPOP,TOT,PC_POP,A,1955,11.53178836,
BEL,ELDLYPOP,TOT,PC_POP,A,1956,11.60716287,
BEL,ELDLYPOP,TOT,PC_POP,A,1957,11.6842158,
BEL,ELDLYPOP,TOT,PC_POP,A,1958,11.7545691,
BEL,ELDLYPOP,TOT,PC_POP,A,1959,11.87523287,
BEL,ELDLYPOP,TOT,PC_POP,A,1960,11.96733705,
BEL,ELDLYPOP,TOT,PC_POP,A,1961,12.10062383,
BEL,ELDLYPOP,TOT,PC_POP,A,1962,12.29100822,
BEL,ELDLYPOP,TOT,PC_POP,A,1963,12.39438651,
BEL,ELDLYPOP,TOT,PC_POP,A,1964,12.49543352,
BEL,ELDLYPOP,TOT,PC_POP,A,1965,12.6356398,
BEL,ELDLYPOP,TOT,PC_POP,A,1966,12.80689115,
BEL,ELDLYPOP,TOT,PC_POP,A,1967,12.99484573,
BEL,ELDLYPOP,TOT,PC_POP,A,1968,13.14636737,
BEL,ELDLYPOP,TOT,PC_POP,A,1969,13.27514637,
BEL,ELDLYPOP,TOT,PC_POP,A,1970,13.39278446,
BEL,ELDLYPOP,TOT,PC_POP,A,1971,13.49170003,
BEL,ELDLYPOP,TOT,PC_POP,A,1972,13.60939501,
BEL,ELDLYPOP,TOT,PC_POP,A,1973,13.73960515,
BEL,ELDLYPOP,TOT,PC_POP,A,1974,13.84521951,
BEL,ELDLYPOP,TOT,PC_POP,A,1975,13.92490332,
BEL,ELDLYPOP,TOT,PC_POP,A,1976,13.98650551,
BEL,ELDLYPOP,TOT,PC_POP,A,1977,14.04825745,
BEL,ELDLYPOP,TOT,PC_POP,A,1978,14.15878028,
BEL,ELDLYPOP,TOT,PC_POP,A,1979,14.27119704,
BEL,ELDLYPOP,TOT,PC_POP,A,1980,14.25967491,
BEL,ELDLYPOP,TOT,PC_POP,A,1981,14.21183242,
BEL,ELDLYPOP,TOT,PC_POP,A,1982,14.09248478,
BEL,ELDLYPOP,TOT,PC_POP,A,1983,13.81998983,
BEL,ELDLYPOP,TOT,PC_POP,A,1984,13.6817971,
BEL,ELDLYPOP,TOT,PC_POP,A,1985,13.82570784,
BEL,ELDLYPOP,TOT,PC_POP,A,1986,14.0826991,
BEL,ELDLYPOP,TOT,PC_POP,A,1987,14.2846664,
BEL,ELDLYPOP,TOT,PC_POP,A,1988,14.48591727,
BEL,ELDLYPOP,TOT,PC_POP,A,1989,14.71494854,
BEL,ELDLYPOP,TOT,PC_POP,A,1990,14.92238982,
BEL,ELDLYPOP,TOT,PC_POP,A,1991,15.12554468,
BEL,ELDLYPOP,TOT,PC_POP,A,1992,15.30980327,
BEL,ELDLYPOP,TOT,PC_POP,A,1993,15.47765631,
BEL,ELDLYPOP,TOT,PC_POP,A,1994,15.66006805,
BEL,ELDLYPOP,TOT,PC_POP,A,1995,15.89329744,
BEL,ELDLYPOP,TOT,PC_POP,A,1996,16.14062169,
BEL,ELDLYPOP,TOT,PC_POP,A,1997,16.36177929,
BEL,ELDLYPOP,TOT,PC_POP,A,1998,16.54435965,
BEL,ELDLYPOP,TOT,PC_POP,A,1999,16.68497056,
BEL,ELDLYPOP,TOT,PC_POP,A,2000,16.80197541,
BEL,ELDLYPOP,TOT,PC_POP,A,2001,16.89644683,
BEL,ELDLYPOP,TOT,PC_POP,A,2002,16.97885265,
BEL,ELDLYPOP,TOT,PC_POP,A,2003,17.07044919,
BEL,ELDLYPOP,TOT,PC_POP,A,2004,17.17481199,
